
===== PER-OBJECT: world matrix decomposed =====
upTUAKvMVkPOMKq type=EMPTY parent=AKVZtTmuRolfwyf loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
uWPCbpPKzwJOmUY type=MESH parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
UXtkILReLwCJaov type=MESH parent=bjlUhVsGutUqoZH loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
UXtsBZYlaUvHoEh type=MESH parent=JMNlJLaRJqsIYOv loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
VNIQJMrwFmXgrBf type=MESH parent=lThHoEDPRcKxVDj loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
VozFyMVAwkoHjOE type=EMPTY parent=None loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
vTcSkzvfyxWyWLx type=MESH parent=LQEBZxUIvjuXzdw loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
WzRveeKjvQZVqRA type=MESH parent=tgAwAdzrbYmlxSK loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xBrLNRikmrHehEX type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xcCuAfHYtkJLwuT type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xdyyaajWsatVNxN type=MESH parent=JMNlJLaRJqsIYOv loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
XhlWHFWIcGllwzN type=EMPTY parent=lDFOThoixLkQaNt loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xpVpaKuQKnXQhFj type=MESH parent=goCnNMWcWNuXUcC loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
xRLfDaARzGhpJRl type=EMPTY parent=oiUDqkWwTyKwnqQ loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xTelJGdtyasCWdl type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
xUSWCKliopnKdBb type=EMPTY parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
XziVXUmXQoAudpp type=MESH parent=ZtCfdmHJJEMcBCX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
YhaSRqOjDUQrQTc type=MESH parent=XhlWHFWIcGllwzN loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
YpWPjdyVXeCQnCk type=EMPTY parent=DsxQCihOdKtPxIe loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
ZcRVEBTagyUDrqj type=MESH parent=LQEBZxUIvjuXzdw loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
